"STATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","AA1","AA2","AY1","AY2","AZ1","AZ2","CALL_SIGN","CIG","DEW","EQD","GA1","GA2","GA3","GE1","GF1","IA1","KA1","KA2","MA1","MD1","ME1","MW1","QUALITY_CONTROL","REM","REPORT_TYPE","SLP","SOURCE","TMP","VIS","WND"
"42367099999","2003-06-01T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,"0,1,06,1","0,1,06,1",,,"VICX ","22000,1,9,N","+0080,1","Q01  00002PRCP06","01,1,+01050,9,08,9",,,,"02,99,1,01,1,01,1,01250,1,03,1,00,1",,"120,M,+0456,1",,,"9,9,999,9,-012,1",,"06,1","V020","SYN082AAXX  01124 42367 31696 22703 10430 20080 49974 70600 81130 333 10456 59012 81835;","FM-12","09974,1","4","+0430,1","004000,1,N,1","270,1,N,0015,1"
"42367099999","2004-07-06T12:00:00","4","FM-12","VICX ","V020",,,"9,1,06,1","6,1,06,1",,,"VICX ","00210,1,9,N","+0260,1",,,,,,"06,99,1,06,1,09,1,00250,1,03,1,00,1",,"120,M,+0330,1",,,"9,9,999,9,-012,1",,"95,1","V020","SYN082AAXX  06124 42367 21396 62510 10294 20260 49968 79596 86930 333 10330 59012 6990/;","FM-12","09968,1","4","+0294,1","004000,1,N,1","250,1,N,0051,1"
"42367099999","2004-12-31T06:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,"0,1,06,1","0,1,06,1",,,"VICX ","22000,1,9,N","+9999,9","Q01  00002PRCP06",,,,,"01,99,1,01,1,00,1,99999,9,03,1,01,1",,,,,"9,9,999,9,+009,1",,"04,1","V020","SYN064AAXX  31064 42367 31995 10220 20121 40162 70400 81031 333 58009;","FM-12","10162,1","4","+9999,9","002000,1,N,1","020,1,N,0103,1"
"42367099999","2005-01-26T06:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,"2,1,06,1","2,1,06,1",,,"VICX ","99999,9,9,N","+0111,1","Q01  00002PRCP06",,,,,"05,99,1,02,1,00,1,99999,9,03,1,01,1",,,,,"9,9,999,9,-032,1",,"04,1","V020","SYN070AAXX  26064 42367 31995 52310 10170 20111 40165 70422 82031 333 59032;","FM-12","10165,1","4","+0170,1","002000,1,N,1","230,1,N,0051,1"
"42367099999","2005-01-30T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,"2,1,06,1","2,1,06,1",,,"VICX ","03600,1,9,N","+0141,1","Q01  00002PRCP06",,,,,"07,99,1,02,1,04,1,00800,1,03,1,01,1",,"120,M,+0256,1",,,"9,9,999,9,+020,1",,"04,1","V020","SYN076AAXX  30124 42367 31596 70902 10210 20141 40137 70422 82431 333 10256 58020;","FM-12","10137,1","4","+0210,1","004000,1,N,1","090,1,N,0010,1"
"42367099999","2005-02-12T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0140,1","Q01  00002PRCP06",,,,,"02,99,1,01,1,00,1,99999,9,03,1,01,1",,"120,M,+0306,1",,,"9,9,999,9,-017,1",,,"V020","SYN064AAXX  12124 42367 32996 23405 10280 20140 81031 333 10306 59017;","FM-12","99999,9","4","+0280,1","004000,1,N,1","340,1,N,0026,1"
"42367099999","2005-02-13T00:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,"0,1,06,1","0,1,06,1",,,"VICX ","22000,1,9,N","+0143,1","Q01  00002PRCP06","00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,,"9,9,999,9,-023,1",,"05,1","V020","SYN064AAXX  13004 42367 32996 03605 10156 20143 40136 70500 333 59023;","FM-12","10136,1","4","+0156,1","004000,1,N,1","360,1,N,0026,1"
"42367099999","2005-03-08T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","03600,1,9,N","+0154,1","Q01  00002PRCP06",,,,,"07,99,1,02,1,08,1,00800,1,03,1,01,1",,"120,M,+0298,1",,,"9,9,999,9,-016,1",,,"V020","SYN070AAXX  08124 42367 32596 72505 10278 20154 40148 82831 333 10298 59016;","FM-12","10148,1","4","+0278,1","004000,1,N,1","250,1,N,0026,1"
"42367099999","2005-03-14T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0152,1","Q01  00002PRCP06",,,,,"01,99,1,00,1,00,1,99999,9,00,1,01,1",,"120,M,+0315,1",,,"9,9,999,9,-018,1",,,"V020","SYN070AAXX  14124 42367 32996 13605 10292 20152 40105 80001 333 10315 59018;","FM-12","10105,1","4","+0292,1","004000,1,N,1","360,1,N,0026,1"
"42367099999","2005-03-17T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0213,1","Q01  00002PRCP06","00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,"120,M,+0360,1",,,"9,9,999,9,-003,1",,,"V020","SYN064AAXX  17124 42367 32996 03207 10340 20213 40080 333 10360 59003;","FM-12","10080,1","4","+0340,1","004000,1,N,1","320,1,N,0036,1"
